,Location,Name,Rooms,Guests,Pets,Wifi,Free_parking,Refrigerator,Kitchen,Smoke_alarm,Cooling,Heating,TV,Bed_lines,Washer,Super_host,Price,Review_count,Total_rate
0,San Antonio,Apartment in San Antonio,1,2,True,True,True,True,True,,True,True,True,True,True,True,297,152,4.82
1,San Antonio,Guesthouse in San Antonio,2,5,False,True,True,True,True,,True,True,True,True,,True,299,197,4.88
2,San Antonio,Apartment in San Antonio,1,3,False,True,True,True,True,,True,True,True,True,True,False,386,2,4.5
3,San Antonio,Apartment in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,True,True,281,68,4.84
4,San Antonio,Apartment in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,True,339,104,4.93
5,Converse,Place to stay in Converse,1,2,False,True,True,True,True,,True,True,True,True,True,True,123,38,5.0
6,San Antonio,Apartment in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,True,True,730,68,4.97
7,San Antonio,Room in San Antonio,1,2,False,True,True,True,True,True,True,True,True,True,True,True,159,58,4.93
8,San Antonio,Room in San Antonio,1,1,False,True,True,,True,True,True,,True,,,False,152,0,0.0
9,San Antonio,Condo in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,,True,340,19,4.89
10,San Antonio,Room in San Antonio,1,2,False,True,True,,True,True,True,True,True,True,,False,164,178,4.9
11,San Antonio,Room in San Antonio,1,1,False,True,True,True,True,True,True,True,,,True,True,154,224,4.88
12,San Antonio,Apartment in San Antonio,1,3,False,True,True,True,True,,True,True,True,True,True,True,319,334,4.85
13,Cibolo,Room in Cibolo,1,2,True,True,True,True,True,,True,True,True,True,True,False,139,91,4.92
14,San Antonio,Room in San Antonio,1,1,False,True,True,True,True,True,True,True,,True,,False,148,29,4.66
15,San Antonio,Apartment in San Antonio,1,3,False,True,True,True,True,,True,True,True,True,True,True,590,242,4.95
16,San Antonio,Apartment in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,True,399,28,4.96
17,San Antonio,Apartment in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,False,342,52,4.87
18,San Antonio,Apartment in San Antonio,1,2,True,True,True,True,True,,True,True,True,True,True,True,297,152,4.82
19,San Antonio,Guesthouse in San Antonio,2,5,False,True,True,True,True,,True,True,True,True,,True,299,197,4.88
20,San Antonio,Apartment in San Antonio,1,3,False,True,True,True,True,,True,True,True,True,True,False,386,2,4.5
21,San Antonio,Apartment in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,True,True,281,68,4.84
22,San Antonio,Apartment in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,True,339,104,4.93
23,Converse,Place to stay in Converse,1,2,False,True,True,True,True,,True,True,True,True,True,True,123,38,5.0
24,San Antonio,Apartment in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,True,True,730,68,4.97
25,San Antonio,Room in San Antonio,1,2,False,True,True,True,True,True,True,True,True,True,True,True,159,58,4.93
26,San Antonio,Room in San Antonio,1,1,False,True,True,,True,True,True,,True,,,False,152,0,0.0
27,San Antonio,Condo in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,,True,340,19,4.89
28,San Antonio,Room in San Antonio,1,2,False,True,True,,True,True,True,True,True,True,,False,164,178,4.9
29,San Antonio,Room in San Antonio,1,1,False,True,True,True,True,True,True,True,,,True,True,154,224,4.88
30,San Antonio,Apartment in San Antonio,1,3,False,True,True,True,True,,True,True,True,True,True,True,319,334,4.85
31,Cibolo,Room in Cibolo,1,2,True,True,True,True,True,,True,True,True,True,True,False,139,91,4.92
32,San Antonio,Room in San Antonio,1,1,False,True,True,True,True,True,True,True,,True,,False,148,29,4.66
33,San Antonio,Apartment in San Antonio,1,3,False,True,True,True,True,,True,True,True,True,True,True,590,242,4.95
34,San Antonio,Apartment in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,True,399,28,4.96
35,San Antonio,Apartment in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,False,342,52,4.87
36,San Antonio,Apartment in San Antonio,1,2,True,True,True,True,True,,True,True,True,True,True,True,297,152,4.82
37,San Antonio,Guesthouse in San Antonio,2,5,False,True,True,True,True,,True,True,True,True,,True,299,197,4.88
38,San Antonio,Apartment in San Antonio,1,3,False,True,True,True,True,,True,True,True,True,True,False,386,2,4.5
39,San Antonio,Apartment in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,True,True,281,68,4.84
40,San Antonio,Apartment in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,True,339,104,4.93
41,Converse,Place to stay in Converse,1,2,False,True,True,True,True,,True,True,True,True,True,True,123,38,5.0
42,San Antonio,Apartment in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,True,True,730,68,4.97
43,San Antonio,Room in San Antonio,1,2,False,True,True,True,True,True,True,True,True,True,True,True,159,58,4.93
44,San Antonio,Room in San Antonio,1,1,False,True,True,,True,True,True,,True,,,False,152,0,0.0
45,San Antonio,Condo in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,,True,340,19,4.89
46,San Antonio,Room in San Antonio,1,2,False,True,True,,True,True,True,True,True,True,,False,164,178,4.9
47,San Antonio,Room in San Antonio,1,1,False,True,True,True,True,True,True,True,,,True,True,154,224,4.88
48,San Antonio,Apartment in San Antonio,1,3,False,True,True,True,True,,True,True,True,True,True,True,319,334,4.85
49,Cibolo,Room in Cibolo,1,2,True,True,True,True,True,,True,True,True,True,True,False,139,91,4.92
50,San Antonio,Room in San Antonio,1,1,False,True,True,True,True,True,True,True,,True,,False,148,29,4.66
51,San Antonio,Apartment in San Antonio,1,3,False,True,True,True,True,,True,True,True,True,True,True,590,242,4.95
52,San Antonio,Apartment in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,True,399,28,4.96
53,San Antonio,Apartment in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,False,342,52,4.87
54,San Antonio,Apartment in San Antonio,1,2,True,True,True,True,True,,True,True,True,True,True,True,297,152,4.82
55,San Antonio,Guesthouse in San Antonio,2,5,False,True,True,True,True,,True,True,True,True,,True,299,197,4.88
56,San Antonio,Apartment in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,True,339,104,4.93
57,San Antonio,Apartment in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,True,True,281,68,4.84
58,San Antonio,Condo in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,,True,340,19,4.89
59,San Antonio,Apartment in San Antonio,1,3,False,True,True,True,True,,True,True,True,True,True,True,319,334,4.85
60,San Antonio,Apartment in San Antonio,1,3,False,True,True,True,True,,True,True,True,True,True,False,386,2,4.5
61,San Antonio,Apartment in San Antonio,2,4,False,True,True,,True,,True,True,True,True,True,True,364,1,5.0
62,San Antonio,Apartment in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,True,399,28,4.96
63,San Antonio,Guesthouse in San Antonio,1,2,False,True,True,True,True,,True,True,True,,,True,287,385,4.95
64,San Antonio,Room in San Antonio,1,1,False,True,True,True,True,True,True,True,,,True,True,154,224,4.88
65,San Antonio,Guesthouse in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,False,198,15,4.73
66,San Antonio,Apartment in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,,False,312,162,4.69
67,Converse,Place to stay in Converse,1,2,False,True,True,True,True,,True,True,True,True,True,True,123,38,5.0
68,San Antonio,Apartment in San Antonio,1,2,True,True,True,True,True,,True,True,True,True,True,False,320,56,4.84
69,San Antonio,Room in San Antonio,1,1,False,True,True,True,True,True,True,True,,True,,False,148,29,4.66
70,San Antonio,Apartment in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,False,342,52,4.87
71,San Antonio,Apartment in San Antonio,1,3,False,True,True,True,True,,True,True,True,True,True,True,372,8,4.75
72,San Antonio,Guesthouse in San Antonio,2,5,False,True,True,True,True,,True,True,True,True,,True,299,197,4.88
73,San Antonio,Apartment in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,True,True,281,68,4.84
74,San Antonio,Apartment in San Antonio,1,3,False,True,True,True,True,,True,True,True,True,True,False,386,2,4.5
75,San Antonio,Apartment in San Antonio,1,2,True,True,True,True,True,,True,True,True,True,True,True,297,152,4.82
76,San Antonio,Guesthouse in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,False,198,15,4.73
77,San Antonio,Condo in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,,True,340,19,4.89
78,San Antonio,Apartment in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,True,339,104,4.93
79,Cibolo,Room in Cibolo,1,2,True,True,True,True,True,,True,True,True,True,True,False,139,91,4.92
80,Converse,Room in Converse,1,2,False,True,True,,,True,True,True,True,True,,False,136,11,5.0
81,San Antonio,Apartment in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,,False,312,162,4.69
82,San Antonio,Apartment in San Antonio,2,4,False,True,True,True,True,,True,True,True,True,True,True,730,68,4.97
83,Converse,Place to stay in Converse,1,2,False,True,True,True,True,,True,True,True,True,True,True,123,38,5.0
84,San Antonio,Room in San Antonio,1,1,False,True,True,,True,True,True,,True,,,False,152,0,0.0
85,San Antonio,Apartment in San Antonio,1,3,False,True,True,True,True,,True,True,True,True,True,True,319,334,4.85
86,San Antonio,Tiny home in San Antonio,1,2,True,True,True,True,True,,True,True,True,True,,False,196,5,4.6
87,San Antonio,Apartment in San Antonio,1,4,False,True,True,True,True,,True,True,True,True,True,False,372,1,5.0
88,San Antonio,Apartment in San Antonio,1,2,False,True,True,True,True,,True,True,True,True,True,True,319,74,4.81
89,San Antonio,Room in San Antonio,1,1,False,True,True,True,True,True,True,True,,True,,False,148,29,4.66
90,San Antonio,Guesthouse in San Antonio,2,5,False,True,True,True,True,,True,True,True,True,,True,299,197,4.88
